Entry_DealID,Entry_Company,Entry_DealDate,Entry_DealSize,Entry_DealType,Entry_DealType2,Entry_DealType3,Exit_DealID,Exit_Company,Exit_DealDate,Exit_DealSize,Exit_DealType,Exit_DealType2,Exit_DealType3,HoldingYears,AbsDaysAfter
21916-36T,Deltek,2012-10-10,1100.0,Buyout/LBO,Secondary Buyout,Public to Private,73527-40T,Deltek,2016-12-28,2800.0,Merger/Acquisition,,,4.216290212183436,1540
21556-27T,Interline Brands,2012-09-07,1100.0,Buyout/LBO,Public to Private,,54000-82T,Interline Brands,2015-08-24,1672.0,Merger/Acquisition,,,2.9596167008898013,1081
16621-12T,inVentiv Health,2010-08-04,1100.0,Buyout/LBO,Public to Private,,87502-51T,inVentiv Health,2017-08-01,4279.6,Merger/Acquisition,,,6.992470910335387,2554
10276-48T,RailAmerica,2007-02-14,1100.0,Buyout/LBO,Public to Private,,15901-48T,RailAmerica,2009-10-13,330.0,IPO,,,2.6611909650924024,972
10211-41T,DoubleClick,2005-07-13,1071.0,Buyout/LBO,Public to Private,,10223-20T,DoubleClick,2008-03-11,3100.0,Merger/Acquisition,,,2.6611909650924024,972
28902-34T,Active Network,2013-11-15,1050.0,Buyout/LBO,Public to Private,,96339-88T,Active Network,2017-09-01,1171.0,Merger/Acquisition,,,3.7946611909650922,1386
18232-84T,Forcepoint,2013-06-25,1000.0,Buyout/LBO,Public to Private,,46869-49T,Forcepoint,2015-05-29,1900.0,Merger/Acquisition,,,1.9247091033538672,703
10198-45T,Populus Financial Group,2006-06-07,996.0,Buyout/LBO,Public to Private,Management Buyout,249697-90T,Populus Financial Group,2023-03-01,,Merger/Acquisition,,,16.73100616016427,6111
10349-38T,Kellwood Company,2008-02-20,950.1,Buyout/LBO,Public to Private,,80126-56T,Kellwood Company,2016-12-21,156.0,Merger/Acquisition,,,8.83504449007529,3227
10258-75T,Jostens,2000-05-10,950.0,Buyout/LBO,Public to Private,,59275-45T,Jostens,2015-11-02,1500.0,Merger/Acquisition,,,15.4798083504449,5654
10172-89T,SS&C Technologies Holdings (NAS: SSNC),2005-11-23,942.0,Buyout/LBO,Public to Private,,16199-92T,SS&C Technologies Holdings (NAS: SSNC),2010-03-31,160.88,IPO,,,4.350444900752909,1589
156608-38T,OneSpaWorld Holdings (NAS: OSW),2015-12-09,925.0,Buyout/LBO,Public to Private,,105551-29T,OneSpaWorld Holdings (NAS: OSW),2019-03-19,300.0,Reverse Merger,,,3.274469541409993,1196
10492-03T,Shopko Stores,2005-12-28,879.0,Buyout/LBO,Public to Private,,167465-89T,Shopko Stores,2020-02-01,,Merger/Acquisition,,,14.094455852156058,5148
