Entry_DealID,Entry_Company,Entry_DealDate,Entry_DealSize,Entry_DealType,Entry_DealType2,Entry_DealType3,Exit_DealID,Exit_Company,Exit_DealDate,Exit_DealSize,Exit_DealType,Exit_DealType2,Exit_DealType3,HoldingYears,AbsDaysAfter
10198-81T,Highland Hospitality,2007-07-17,2000.0,Buyout/LBO,Public to Private,,45314-29T,Highland Hospitality,2011-03-10,2000.0,Merger/Acquisition,Recapitalization,,3.646817248459959,1332
67783-96T,Polycom,2016-09-27,2000.0,Buyout/LBO,Add-on,Public to Private,103477-78T,Polycom,2018-07-02,2216.64,Merger/Acquisition,Corporate Divestiture,,1.7604380561259412,643
10238-23T,Ryerson (NYS: RYI),2007-10-19,2000.0,Buyout/LBO,Public to Private,,18521-56T,Ryerson (NYS: RYI),2014-08-08,121.0,IPO,,,6.803559206023272,2485
10208-53T,Genesis HealthCare,2007-07-13,1995.0,Buyout/LBO,Public to Private,,36711-82T,Genesis HealthCare,2015-02-02,,Reverse Merger,,,7.559206023271732,2761
18714-43T,Immucor,2011-08-19,1973.0,Buyout/LBO,Secondary Buyout,Public to Private,202020-13T,Immucor,2023-03-15,1543.62,Merger/Acquisition,,,11.570157426420261,4226
113624-02T,Apptio,2019-01-10,1940.0,Buyout/LBO,Public to Private,,226765-27T,Apptio,2023-08-10,4610.0,Merger/Acquisition,,,4.5804243668720055,1673
36613-81T,Omnivision Technologies,2016-01-28,1900.0,Buyout/LBO,Public to Private,,123669-73T,Omnivision Technologies,2018-08-15,2178.0,Merger/Acquisition,,,2.546201232032854,930
21888-82T,Par Pharmaceutical Companies,2012-09-28,1900.0,Buyout/LBO,Public to Private,,50260-24T,Par Pharmaceutical Companies,2015-09-25,8135.6,Merger/Acquisition,,,2.9897330595482545,1092
18041-41T,SRA International,2011-07-20,1900.0,Buyout/LBO,Public to Private,,57457-18T,SRA International,2015-11-30,1390.0,Merger/Acquisition,,,4.3641341546885695,1594
10008-82T,LNR Property,2005-02-03,1886.2,Buyout/LBO,Public to Private,,24112-54T,LNR Property,2013-01-24,1053.0,Merger/Acquisition,,,7.972621492128679,2912
10500-85T,Select Medical Holdings (NYS: SEM),2005-02-24,1827.7,Buyout/LBO,Public to Private,,11685-25T,Select Medical Holdings (NYS: SEM),2009-09-25,300.0,IPO,,,4.583162217659138,1674
10490-50T,Daikin Comfort Technologies North America,2008-02-13,1812.0,Buyout/LBO,Secondary Buyout,Public to Private,17725-15T,Daikin Comfort Technologies North America,2012-11-01,3700.0,Merger/Acquisition,,,4.717316906228611,1723
17374-24T,Gymboree Group,2010-11-23,1800.0,Buyout/LBO,Public to Private,,115623-37T,Gymboree Group,2019-04-04,76.0,Merger/Acquisition,,,8.361396303901437,3054
10269-37T,United Surgical Partners International,2007-04-19,1800.0,Buyout/LBO,Public to Private,,17153-65T,United Surgical Partners International,2009-05-15,,Merger/Acquisition,,,2.0725530458590007,757
70104-61T,Adobe Marketo Engage,2016-08-16,1790.0,Buyout/LBO,Public to Private,,111695-50T,Adobe Marketo Engage,2018-10-31,4736.0,Merger/Acquisition,,,2.206707734428474,806
113046-04T,American Railcar Industries,2018-12-05,1750.0,Buyout/LBO,Public to Private,,119748-70T,American Railcar Industries,2019-07-26,418.27,Merger/Acquisition,,,0.6379192334017796,233
10708-75T,HealthMarkets,2006-04-05,1725.22,Buyout/LBO,Public to Private,,125609-32T,HealthMarkets,2019-01-31,,Merger/Acquisition,,,12.824093086926762,4684
11380-69T,Apria,2008-10-28,1700.0,Buyout/LBO,Public to Private,,165192-04T,Apria,2021-02-11,150.0,IPO,,,12.290212183436003,4489
10041-40T,AMC Entertainment Holdings (NYS: AMC),2004-12-23,1670.0,Buyout/LBO,Public to Private,,21431-44T,AMC Entertainment Holdings (NYS: AMC),2012-09-04,2660.0,Merger/Acquisition,,,7.698836413415469,2812
69061-69T,Cvent,2016-11-29,1650.0,Buyout/LBO,Secondary Buyout,Public to Private,176875-12T,Cvent,2021-12-08,326.0,Reverse Merger,,,5.023956194387406,1835
11737-09T,Community Health Systems (Franklin) (NYS: CYH),1996-07-10,1630.0,Buyout/LBO,Public to Private,,11737-18T,Community Health Systems (Franklin) (NYS: CYH),2000-06-09,243.75,IPO,PIPE,,3.915126625598905,1430
10972-09T,IQVIA (NYS: IQV),2003-09-25,1610.19,Buyout/LBO,Public to Private,,22377-70T,IQVIA (NYS: IQV),2013-05-09,947.37,IPO,,,9.620807665982204,3514
17786-17T,JOANN,2011-03-18,1600.0,Buyout/LBO,Public to Private,,166873-15T,JOANN,2021-03-12,131.25,IPO,,,9.984941820670773,3647
93342-97T,Innkeepers USA Trust,2007-06-26,1500.0,Buyout/LBO,Public to Private,,33790-42T,Innkeepers USA Trust,2014-06-11,958.5,Merger/Acquisition,,,6.959616700889802,2542
40713-58T,Gener8 Maritime,2015-05-07,1450.0,Buyout/LBO,Secondary Buyout,Public to Private,54526-87T,Gener8 Maritime,2015-06-25,210.0,IPO,,,0.13415468856947296,49
10952-74T,Performance Food Group (NYS: PFGC),2008-05-27,1400.25,Buyout/LBO,Public to Private,,37431-19T,Performance Food Group (NYS: PFGC),2015-10-01,275.5,IPO,,,7.345653661875428,2683
10272-61T,Open Solutions,2007-01-23,1400.0,Buyout/LBO,Public to Private,,21137-32T,Open Solutions,2013-01-14,55.0,Merger/Acquisition,,,5.976728268309377,2183
