DealID,Company,Company_norm,DealType,DealType2,DealType3,DealDate,DealSize,DealStatus,EntryDate,HoldingYears,AbsDaysAfter,Seed_DealID,Seed_Company,Seed_DealDate,Seed_DealSize
251671-87T,Masonite,masonite,Merger/Acquisition,,,2024-03-15,3900.0,Completed,2005-04-06,18.940451745379878,6918,11195-11T,Masonite,2005-04-06,3260.0
153712-63T,LXR Luxury Resorts,lxr luxury resorts,Merger/Acquisition,,,2019-07-01,,Completed,2005-08-16,13.872689938398358,5067,18393-76T,LXR Luxury Resorts,2005-08-16,3240.0
21136-96T,Bloomin' Brands (NAS: BLMN),bloomin' brands (nas: blmn),IPO,,,2012-08-08,176.0,Completed,2007-06-14,5.152635181382615,1882,10205-11T,Bloomin' Brands (NAS: BLMN),2007-06-14,3233.17
189464-41T,ADESA (Automotive),adesa (automotive),Merger/Acquisition,Corporate Divestiture,,2022-05-09,2195.0,Completed,2007-04-20,15.052703627652292,5498,10240-84T,ADESA (Automotive),2007-04-20,3228.0
31652-29T,Trusted Media Brands,trusted media brands,Merger/Acquisition,,,2014-02-16,,Completed,2007-03-02,6.962354551676934,2543,10287-28T,Trusted Media Brands,2007-03-02,3201.0
25495-93T,Envision Healthcare,envision healthcare,IPO,,,2013-08-13,1100.9,Completed,2011-05-25,2.220396988364134,811,17779-51T,Envision Healthcare,2011-05-25,3200.0
72266-95T,Change Healthcare,change healthcare,Merger/Acquisition,,,2016-06-28,4450.0,Completed,2011-11-02,4.654346338124572,1700,18838-36T,Change Healthcare,2011-11-02,3000.0
117497-89T,Change Healthcare,change healthcare,IPO,,,2019-06-27,640.7,Completed,2011-11-02,7.649555099247091,2794,18838-36T,Change Healthcare,2011-11-02,3000.0
164498-23T,Change Healthcare,change healthcare,Merger/Acquisition,,,2022-10-03,13000.0,Completed,2011-11-02,10.91854893908282,3988,18838-36T,Change Healthcare,2011-11-02,3000.0
180030-07T,Neustar,neustar,Merger/Acquisition,,,2021-12-01,3100.0,Completed,2017-08-08,4.314852840520191,1576,140511-97T,Neustar,2017-08-08,2900.0
