Company,EntryDate,ExitDate,HoldingYears,PairingNotes,Entry_DealType,Entry_DealType2,Entry_DealType3,Entry_DealSize,Entry_Sponsor,Exit_DealType,Exit_DealType2,Exit_DealType3,Exit_DealSize,Exit_Sponsor,EntryYear,ExitYear
portec group international,2005-03-24,2013-07-01,8.271047227926077,SingleEntrySingleExit,buyout/lbo,,,17.8,incline equity partners(peter del presto),merger/acquisition,,,27.06,interroll holding (swx: inrn),2005,2013
portrait corp. of america,1998-08-21,2007-06-08,8.796714579055442,SingleEntrySingleExit,buyout/lbo,public to private,management buyout,200.0,jupiter partners,merger/acquisition,,,100.0,,1998,2007
postup,2014-01-31,2019-04-18,5.210130047912389,SingleEntryMultipleExits,buyout/lbo,,,12.9,"petra capital partners(robert smith), red river equity partners, transition capital partners(andy foskey)",merger/acquisition,,,49.4,upland software (nas: upld),2014,2019
power distribution,2017-01-27,2020-02-25,3.077344284736482,SingleEntryMultipleExits,buyout/lbo,corporate divestiture,,203.0,"bank of america business capital, blackstone credit and insurance, dunes point capital, triplepoint capital",merger/acquisition,,,,eaton (nys: etn)(brian brickhouse),2017,2020
power rangers,2010-05-12,2018-06-12,8.084873374401095,SingleEntryMultipleExits,buyout/lbo,add-on,corporate divestiture,100.0,"saban brands, saban capital group(haim saban)",merger/acquisition,corporate divestiture,,,hasbro (nas: has)(brian goldner),2010,2018
powerplan,2015-02-23,2018-06-04,3.277207392197125,SingleEntrySingleExit,buyout/lbo,,,435.0,thoma bravo(scott crabill),merger/acquisition,,,1111.4,roper technologies (nas: rop)(brian jellison),2015,2018
powerschool holdings,2018-06-12,2021-07-28,3.1266255989048597,MultipleEntriesSingleExit,buyout/lbo,secondary buyout,,2475.0,onex (private equity) (tse: onex)(laurence goldberg),ipo,,,710.53,,2018,2021
pra health sciences,2001-07-09,2004-11-17,3.359342915811088,MultipleEntriesMultipleExits,buyout/lbo,management buyout,secondary buyout,,"caisse de dépôt et placement du québec, genstar capital(jean-pierre conte), global leveraged capital",ipo,,,114.0,,2001,2004
pra health sciences,2013-09-24,2014-11-13,1.136208076659822,MultipleEntriesMultipleExits,buyout/lbo,secondary buyout,,1325.0,"kohlberg kravis roberts (nys: kkr)(james momtazee), neuberger berman",ipo,,,305.58,,2013,2014
pra health sciences,2013-09-24,2021-07-01,7.767282683093772,MultipleEntriesMultipleExits,buyout/lbo,secondary buyout,,1325.0,"kohlberg kravis roberts (nys: kkr)(james momtazee), neuberger berman",merger/acquisition,,,12041.97,icon (consulting services) (nas: iclr)(steven cutler),2013,2021
prana (clothing),2008-03-31,2014-05-30,6.16290212183436,SingleEntryMultipleExits,buyout/lbo,management buyout,corporate divestiture,36.5,steelpoint capital partners(scott tierney),merger/acquisition,,,188.5,columbia sportswear (nas: colm)(timothy boyle),2008,2014
precise software solutions,2008-03-03,2013-07-02,5.330595482546201,SingleEntryMultipleExits,buyout/lbo,corporate divestiture,,,"gold hill capital, vector capital (california)(robert amen)",merger/acquisition,,,,idera(randall jacops),2008,2013
precision coating company,2015-12-01,2025-01-07,9.103353867214237,MultipleEntriesSingleExit,buyout/lbo,management buyout,secondary buyout,,"avante capital partners(natasha fox), promus equity partners",merger/acquisition,,,157.0,integer holdings (nys: itgr),2015,2025
precision engineered products,2006-11-27,2015-10-19,8.892539356605065,MultipleEntriesSingleExit,buyout/lbo,secondary buyout,,,nautic partners(douglas hill),merger/acquisition,,,731.93,nn (nas: nnbr)(richard holder),2006,2015
precision gear,2008-06-02,2013-12-16,5.538672142368241,MultipleEntriesSingleExit,buyout/lbo,secondary buyout,,80.0,"industrial innovation partners, insight equity, one equity partners(james cherry)",merger/acquisition,,,77.1,zurn elkay water solutions (nys: zws),2008,2013
precision hydraulic cylinders,2014-05-30,2023-01-31,8.673511293634498,MultipleEntriesSingleExit,buyout/lbo,management buyout,secondary buyout,,"dellin investments, owner resource group(jonathan gormin), pnc erieview capital",merger/acquisition,,,85.0,leggett & platt (nys: leg)(benjamin burns),2014,2023
precisionir,2006-08-15,2013-08-22,7.019849418206708,SingleEntrySingleExit,buyout/lbo,public to private,,48.19,somers investment partners(nicholas somers),merger/acquisition,,,50.14,access newswire (ase: accs)(brian balbirnie),2006,2013
precitech,2002-03-31,2006-11-06,4.602327173169062,SingleEntrySingleExit,buyout/lbo,,,21.5,american capital(robert klein),merger/acquisition,,,13.0,ametek (nys: ame)(frank hermance),2002,2006
premier election solutions,2009-09-02,2010-05-19,0.7091033538672142,SingleEntryMultipleExits,buyout/lbo,add-on,corporate divestiture,12.1,"election systems & software, mccarthy capital",merger/acquisition,corporate divestiture,,,dominion voting systems(john poulos),2009,2010
presidio,2015-02-02,2017-03-10,2.099931553730322,MultipleEntriesSingleExit,buyout/lbo,secondary buyout,,1500.0,apollo asset management (nys: apo)(matthew nord),ipo,,,233.33,,2015,2017
press ganey associates,2008-03-12,2015-05-21,7.189596167008898,MultipleEntriesSingleExit,buyout/lbo,secondary buyout,,675.0,"ares management (nys: ares), intermediate capital group (lon: icg), vestar capital partners(roger holstein)",ipo,,,222.5,,2008,2015
prestige consumer healthcare (nys: pbh),2004-02-10,2005-02-10,1.002053388090349,SingleEntrySingleExit,buyout/lbo,secondary buyout,,225.0,"crescent capital group, gtcr",ipo,,,448.0,,2004,2005
prestolite electric,2004-03-04,2012-11-02,8.6652977412731,SingleEntryMultipleExits,buyout/lbo,secondary buyout,,180.0,"first atlantic capital, najeti ventures",merger/acquisition,,,,general cable,2004,2012
prestolite electric,2004-03-04,2015-04-16,11.11567419575633,SingleEntryMultipleExits,buyout/lbo,secondary buyout,,180.0,"first atlantic capital, najeti ventures",merger/acquisition,corporate divestiture,,,zhongshan broad-ocean motor company (she: 002249),2004,2015
pride international (latin american land drilling operations),2007-08-31,2018-05-01,10.666666666666666,SingleEntrySingleExit,buyout/lbo,,,1000.0,gp investments (lux: gpina),merger/acquisition,,,,,2007,2018
prime window systems,2016-08-01,2020-04-30,3.7453798767967146,SingleEntrySingleExit,buyout/lbo,corporate divestiture,,,morris capital management(timothy morris),merger/acquisition,corporate divestiture,,93.0,cornerstone building brands(james metcalf),2016,2020
primus international,2006-06-08,2011-08-09,5.169062286105407,SingleEntrySingleExit,buyout/lbo,secondary buyout,,,"liberty hall capital partners, oak hill capital(denis nayden)",merger/acquisition,,,900.0,precision castparts(mark donegan),2006,2011
princeton softech,2002-03-26,2007-09-13,5.467488021902806,SingleEntrySingleExit,buyout/lbo,corporate divestiture,,21.0,"apax partners(gregory case), llr partners",merger/acquisition,,,,international business machines (nys: ibm),2002,2007
printronix,2008-01-08,2013-01-10,5.007529089664613,SingleEntryMultipleExits,buyout/lbo,public to private,,108.0,vector capital (california)(amish mehta),merger/acquisition,,,,evercel (pinx: evrc)(daniel allen),2008,2013
printronix,2008-01-08,2021-10-07,13.74674880219028,SingleEntryMultipleExits,buyout/lbo,public to private,,108.0,vector capital (california)(amish mehta),merger/acquisition,,,37.14,acacia research corporation (nas: actg)(clifford press),2008,2021
privia health group (nas: prva),2014-09-16,2021-04-29,6.617385352498289,SingleEntrySingleExit,buyout/lbo,,,400.0,"annox capital, brighton health, cardinal partners, morgan noble healthcare(robert haft), pamplona capital management, the goldman sachs group (nys: gs)",ipo,,,448.5,,2014,2021
probuild,1997-03-26,2015-07-31,18.34633812457221,SingleEntrySingleExit,buyout/lbo,public to private,,30.16,fidelity equity partners (massachusetts),merger/acquisition,,,1630.0,builders firstsource (nys: bldr)(floyd sherman),1997,2015
procare software,2018-08-06,2024-02-26,5.557837097878165,SingleEntrySingleExit,buyout/lbo,secondary buyout,recapitalization,550.0,warburg pincus(chandler reedy),merger/acquisition,,,1860.0,roper technologies (nas: rop)(l. neil hunn),2018,2024
prodigy health group,2010-01-01,2011-06-28,1.486652977412731,SingleEntrySingleExit,buyout/lbo,secondary buyout,,,w capital partners(stephen wertheimer),merger/acquisition,,,600.0,aetna(mark bertolini),2010,2011
production control services,2004-06-02,2012-04-25,7.8959616700889805,SingleEntrySingleExit,buyout/lbo,secondary buyout,,,"fidelity equity partners (massachusetts), fort point capital",merger/acquisition,,,220.0,dover (machinery (b2b)) (nys: dov),2004,2012
professional bull riders,2015-05-18,2025-02-28,9.78507871321013,SingleEntrySingleExit,buyout/lbo,secondary buyout,add-on,100.0,"endeavor group holdings, silver lake",merger/acquisition,corporate divestiture,,3250.0,tko group (nys: tko)(mark shapiro),2015,2025
proquest (publishing),2013-11-11,2021-12-01,8.054757015742641,MultipleEntriesSingleExit,pe growth/expansion,,,,the goldman sachs group (nys: gs)(bradley gross),merger/acquisition,,,4994.33,clarivate (nys: clvt)(jerre stead),2013,2021
prospect medical holdings,2010-12-15,2021-01-01,10.047912388774812,SingleEntryMultipleExits,buyout/lbo,public to private,,205.0,leonard green & partners(john baumer),merger/acquisition,,,,,2010,2021
prospect medical holdings,2010-12-15,2025-07-01,14.543463381245722,SingleEntryMultipleExits,buyout/lbo,public to private,,205.0,leonard green & partners(john baumer),merger/acquisition,,,708.0,astrana health (nas: asth)(brandon sim),2010,2025
protect america,2010-01-07,2020-06-17,10.442162902121835,SingleEntrySingleExit,buyout/lbo,management buyout,,,"falcon investments, rockbridge growth equity(kevin prokop)",merger/acquisition,,,15.0,brinks home security,2010,2020
proton onsite,2008-07-25,2017-06-30,8.930869267624914,SingleEntryMultipleExits,buyout/lbo,corporate divestiture,,10.19,f9 investments(thomas sullivan),merger/acquisition,,,70.0,nel (alternative energy equipment) (osl: nel),2008,2017
provation medical,2018-03-09,2021-12-27,3.802874743326489,SingleEntryMultipleExits,buyout/lbo,corporate divestiture,,180.0,clearlake capital group(behdad eghbali),merger/acquisition,,,1405.6,fortive (nys: ftv)(james lico),2018,2021
provista diagnostics,2019-06-18,2020-01-09,0.5612594113620808,SingleEntrySingleExit,buyout/lbo,add-on,,,"ascenda biosciences, the strategic group pr(robb rill)",merger/acquisition,corporate divestiture,,7.5,todos medical (pinx: tomdf),2019,2020
pulse electronics,2015-04-13,2018-12-01,3.6358658453114305,SingleEntrySingleExit,buyout/lbo,secondary buyout,public to private,17.0,brookfield oaktree holdings(bruce karsh),merger/acquisition,,,740.0,yageo (tai: 2327)(dora chang),2015,2018
pulsecore semiconductor,2006-06-13,2009-11-04,3.3949349760438055,SingleEntryMultipleExits,buyout/lbo,corporate divestiture,,9.25,"august capital(vivek mehra), redwood venture partners, shah capital partners(paul mercandante)",merger/acquisition,,,17.4,on semiconductor (nas: on)(keith jackson),2006,2009
pulsevet technologies,2019-09-06,2021-10-01,2.0698151950718686,MultipleEntriesSingleExit,buyout/lbo,secondary buyout,,,"branford castle partners(eric korsten), siguler guff",merger/acquisition,,,70.9,zomedica pharmaceuticals (pinx: zomdf)(robert cohen),2019,2021
q interactive,2010-09-08,2016-06-08,5.749486652977413,SingleEntryMultipleExits,buyout/lbo,add-on,corporate divestiture,,"london bay capital(sam humphreys), plainfield asset management, sellingsource(dale baker)",merger/acquisition,corporate divestiture,,21.43,fluent (new york) (nas: flnt),2010,2016
qpc lasers,2009-06-01,2021-06-01,12.0,SingleEntryMultipleExits,buyout/lbo,public to private,,,dmc capital funding,merger/acquisition,,,,,2009,2021
quality synthetic rubber,2012-07-26,2022-05-13,9.796030116358658,SingleEntrySingleExit,buyout/lbo,secondary buyout,add-on,,"industrial growth partners, q holding",merger/acquisition,corporate divestiture,,625.0,dätwyler holding (swx: dae)(dirk lambrecht),2012,2022
quality uptime services,2013-08-01,2024-06-21,10.888432580424366,SingleEntrySingleExit,buyout/lbo,corporate divestiture,,,seaport capital,merger/acquisition,,,118.2,abm industries (nys: abm)(scott salmirs),2013,2024
qualserv solutions international,2004-07-09,2017-08-31,13.144421629021219,SingleEntrySingleExit,buyout/lbo,management buyout,secondary buyout,100.0,"babson capital management, bank of ireland group (dub: birg), massachusetts mutual life insurance, the riverside company(robert fitzsimmons)",merger/acquisition,,,40.2,middleby (nas: midd)(selim bassoul),2004,2017
quantum spatial,2012-08-27,2019-12-20,7.312799452429843,SingleEntrySingleExit,buyout/lbo,secondary buyout,,,"arlington capital partners(peter manos), avante capital partners",merger/acquisition,,,318.43,nv5 global(dickerson wright),2012,2019
quest midstream partners,2007-11-01,2010-03-05,2.3408624229979464,MultipleEntriesSingleExit,pe growth/expansion,acquisition financing,,75.0,tmx vettafi,merger/acquisition,corporate divestiture,,,postrock energy (pinx: pstrq)(david lawler),2007,2010
quest specialty chemicals,2011-03-23,2015-06-01,4.191649555099247,MultipleEntriesSingleExit,buyout/lbo,secondary buyout,,,"audax private equity(geoffrey rehnert), moelis capital partners",merger/acquisition,,,500.0,valspar(gary hendrickson),2011,2015
questar assessment,2015-01-01,2017-03-03,2.1683778234086244,SingleEntrySingleExit,buyout/lbo,secondary buyout,,,slate capital group(erik ginsberg),merger/acquisition,,,127.5,educational testing service(walt macdonald),2015,2017
quiet logistics,2019-03-13,2021-12-29,2.7980835044490076,SingleEntrySingleExit,buyout/lbo,,,,"greenfield partners (us)(eugene gorab), the related companies(michael winston)",merger/acquisition,,,360.62,american eagle outfitters (nys: aeo)(jay schottenstein),2019,2021
quikclot (medical supplies),2017-09-29,2020-12-28,3.247091033538672,SingleEntrySingleExit,buyout/lbo,management buyout,secondary buyout,,"audax private equity, dw healthcare partners, linden (chicago)(ernest waaser)",merger/acquisition,,,525.0,teleflex (nys: tfx)(liam kelly),2017,2020
quintana minerals resources,2002-08-01,2004-05-04,1.757700205338809,SingleEntrySingleExit,buyout/lbo,management buyout,,26.52,kayne anderson capital advisors(john anderson),merger/acquisition,,,38.16,centrica (lon: cna),2002,2004
r.j. reynolds tobacco,1989-02-28,2000-01-01,10.839151266255989,SingleEntryMultipleExits,buyout/lbo,public to private,,2640.0,kohlberg kravis roberts (nys: kkr)(henry kravis),merger/acquisition,public to private,,,philip morris international (nys: pm),1989,2000
r.j. reynolds tobacco,1989-02-28,2014-07-30,25.415468856947296,SingleEntryMultipleExits,buyout/lbo,public to private,,2640.0,kohlberg kravis roberts (nys: kkr)(henry kravis),merger/acquisition,corporate divestiture,,,reynolds american,1989,2014
r.j. reynolds tobacco,1989-02-28,2015-06-01,26.253251197809718,SingleEntryMultipleExits,buyout/lbo,public to private,,2640.0,kohlberg kravis roberts (nys: kkr)(henry kravis),merger/acquisition,corporate divestiture,,,imperial brands (lon: imb),1989,2015
rackspace technology (nas: rxt),2016-11-03,2020-08-05,3.753593429158111,SingleEntryMultipleExits,buyout/lbo,public to private,,4300.0,"apollo asset management (nys: apo)(david sambur), searchlight capital partners(darren glatt)",ipo,,,703.5,,2016,2020
radial (bpo/outsource services),2014-01-06,2017-11-16,3.8603696098562628,SingleEntrySingleExit,buyout/lbo,secondary buyout,public to private,109.0,sterling partners(todd miller),merger/acquisition,,,820.0,bpost (bru: bpost)(koen van gerven),2014,2017
radioshack,2020-11-08,2023-05-09,2.4969199178644765,MultipleEntriesSingleExit,buyout/lbo,secondary buyout,,,retail e-commerce ventures(tai lopez),merger/acquisition,public to private,,,unicomer group(rodolfo siman),2020,2023
radiowaves,2017-05-02,2024-04-01,6.915811088295688,SingleEntryMultipleExits,buyout/lbo,add-on,corporate divestiture,,"genstar capital(robert rutledge), infinite electronics(terry jarnigan)",merger/acquisition,corporate divestiture,,,alive telecom(daniel barton),2017,2024
rae systems,2011-06-11,2013-06-04,1.9822039698836413,SingleEntrySingleExit,buyout/lbo,public to private,,134.0,"citic capital(brian doyle), vector capital (california)(david fishman)",merger/acquisition,,,340.0,honeywell (nas: hon),2011,2013
railamerica,2007-02-14,2009-10-13,2.6611909650924024,MultipleEntriesMultipleExits,buyout/lbo,public to private,,1100.0,fortress investment group,ipo,,,330.0,,2007,2009
railamerica,2007-02-14,2012-10-02,5.631759069130732,MultipleEntriesMultipleExits,buyout/lbo,public to private,,1100.0,fortress investment group,merger/acquisition,,,2000.0,genesee & wyoming(john hellmann),2007,2012
ranir,2008-03-25,2019-07-01,11.266255989048597,SingleEntrySingleExit,buyout/lbo,secondary buyout,,102.5,"beringea(charles rothstein), camden partners(david warnock)",merger/acquisition,,,750.0,"claneil enterprises, perrigo company (nys: prgo)(murray kessler)",2008,2019
ranpak (nys: pack),2014-09-22,2019-06-03,4.695414099931554,MultipleEntriesSingleExit,buyout/lbo,secondary buyout,,900.0,rhône group,reverse merger,,,950.0,one madison,2014,2019
rantec power systems,2003-04-15,2015-11-01,12.54757015742642,SingleEntrySingleExit,buyout/lbo,management buyout,corporate divestiture,13.1,ig wealth management,merger/acquisition,,,,,2003,2015
raptor scientific,2020-07-01,2024-07-31,4.082135523613963,SingleEntrySingleExit,buyout/lbo,acquisition financing,,,"five points capital, graycliff partners(brian o'reilly)",merger/acquisition,,,674.0,transdigm group (nys: tdg)(kevin stein),2020,2024
rasmussen college,2019-03-15,2021-09-01,2.4668035592060233,SingleEntrySingleExit,buyout/lbo,corporate divestiture,,,"hauser private equity, promus equity partners(adam code), renovus capital partners(atif gilani)",merger/acquisition,,,330.7,american public education (nas: apei)(angela selden),2019,2021
rathgibson,2010-06-14,2012-04-02,1.8015058179329226,MultipleEntriesSingleExit,buyout/lbo,secondary buyout,distressed acquisition,93.0,"blackrock private equity partners, eaton vance, wayzata investment partners",merger/acquisition,,,,precision castparts,2010,2012
rave mobile safety,2019-04-23,2022-12-14,3.6440793976728267,MultipleEntriesSingleExit,buyout/lbo,secondary buyout,,253.0,tcv(kapil venkatachalam),merger/acquisition,,,533.0,motorola solutions (nys: msi)(gregory brown),2019,2022
razorfish global,2003-02-28,2004-06-27,1.3278576317590691,SingleEntryMultipleExits,buyout/lbo,public to private,,8.5,sbi holdings (tks: 8473),merger/acquisition,,,160.0,microsoft advertising(brian mcandrews),2003,2004
razorfish global,2003-02-28,2009-08-09,6.444900752908967,SingleEntryMultipleExits,buyout/lbo,public to private,,8.5,sbi holdings (tks: 8473),merger/acquisition,corporate divestiture,,526.17,publicis groupe (par: pub)(maurice levy),2003,2009
razorfish global,2003-02-28,2016-11-17,13.71937029431896,SingleEntryMultipleExits,buyout/lbo,public to private,,8.5,sbi holdings (tks: 8473),merger of equals,,,,sapientrazorfish,2003,2016
rdc (business/productivity software),2016-08-30,2020-02-13,3.455167693360712,SingleEntrySingleExit,buyout/lbo,,,,vista equity partners(robert rogers),merger/acquisition,,,700.0,moody's analytics(dan russell),2016,2020
real capital analytics,2019-06-03,2021-09-13,2.2806297056810405,SingleEntrySingleExit,pe growth/expansion,,,115.0,susquehanna growth equity(scott feldman),merger/acquisition,,,948.7,msci (nys: msci)(henry fernandez),2019,2021
real time content,2010-09-30,2015-05-01,4.583162217659138,SingleEntrySingleExit,buyout/lbo,add-on,,,"investcorp, pamlico capital(sean smith), randall reilly",merger/acquisition,,,6.0,pitney bowes (nys: pbi),2010,2015
realtime electronic payments (nas: rpay),2016-09-01,2019-07-11,2.855578370978782,SingleEntrySingleExit,buyout/lbo,secondary buyout,recapitalization,,corsair capital(james kirk),reverse merger,,,150.0,thunder bridge acquisition,2016,2019
recommunity,2015-01-30,2017-10-02,2.6721423682409307,MultipleEntriesSingleExit,buyout/lbo,add-on,,,"kinderhook industries(robert michalik), rizzo environmental services",merger/acquisition,corporate divestiture,,167.1,republic services (nys: rsg)(donald slager),2015,2017
recorded future,2019-05-30,2024-12-20,5.560574948665297,SingleEntrySingleExit,buyout/lbo,,,780.0,"insight partners (new york)(michael triplett), pantheon international (lon: pin)",merger/acquisition,,,2700.0,mastercard (nys: ma)(craig vosburg),2019,2024
recruiting trends,2011-11-04,2013-04-18,1.4537987679671458,SingleEntryMultipleExits,buyout/lbo,corporate divestiture,,,greenhaven partners(wayne cooper),merger/acquisition,,,,diversified communications(bill springer),2011,2013
recruiting trends,2011-11-04,2015-11-17,4.035592060232717,SingleEntryMultipleExits,buyout/lbo,corporate divestiture,,,greenhaven partners(wayne cooper),merger/acquisition,corporate divestiture,,,lrp conferences,2011,2015
recurve energy asset management,2006-05-04,2007-01-01,0.6625598904859685,MultipleEntriesMultipleExits,buyout/lbo,corporate divestiture,,,ls power group(mike segal),merger/acquisition,,,,dynegy,2006,2007
recurve energy asset management,2011-05-01,2020-09-01,9.338809034907598,MultipleEntriesMultipleExits,buyout/lbo,secondary buyout,,950.0,"brookfield oaktree holdings, highstar capital(christopher lee)",merger/acquisition,,,,,2011,2020
red hawk fire & security,2012-04-02,2018-12-03,6.669404517453799,SingleEntryMultipleExits,buyout/lbo,corporate divestiture,,,comvest partners(roger marrero),merger/acquisition,,,318.0,adt (it security company) (nys: adt)(james devries),2012,2018
red rock resorts (nas: rrr),2007-11-07,2016-04-27,8.470910335386721,SingleEntrySingleExit,buyout/lbo,public to private,,6240.0,"colony capital, eurazeo (par: rf), highfields capital management, the goldman sachs group (nys: gs)",ipo,,,527.57,,2007,2016
red roof franchising,2007-09-10,2022-06-08,14.743326488706366,SingleEntrySingleExit,buyout/lbo,corporate divestiture,,1313.0,"citigroup global markets, westmont hospitality group",merger/acquisition,,,5.5,rna alf,2007,2022
rediq,2017-05-30,2024-08-26,7.241615331964408,SingleEntrySingleExit,buyout/lbo,add-on,,,"berkadia, jefferies financial group (nys: jef), ranch capital",merger/acquisition,corporate divestiture,,20.04,radix (business/productivity software)(blerim zeqiri),2017,2024
refinery29,2019-10-01,2024-04-18,4.547570157426421,SingleEntrySingleExit,buyout/lbo,add-on,,400.0,"tpg (nas: tpg), vice media(nancy dubuc)",merger/acquisition,corporate divestiture,,,sundial media group(richelieu dennis),2019,2024
refinitiv,2018-10-01,2021-01-29,2.329911019849418,SingleEntrySingleExit,buyout/lbo,management buyout,,17000.0,"blackstone (nys: bx)(martin brand), canson capital partners(matteo canonaco), cpp investments(james fasano), gic private(yong cheen choo), global gate capital(rudy sayegh), theorica holdings",merger/acquisition,,,27000.0,london stock exchange group (lon: lseg)(david schwimmer),2018,2021
reflexis systems,2017-04-03,2020-09-01,3.4140999315537304,SingleEntrySingleExit,pe growth/expansion,,,32.83,"great hill partners(christopher busby), sageview capital(jeffrey klemens)",merger/acquisition,,,548.0,zebra technologies (nas: zbra)(anders gustafsson),2017,2020
regency energy partners,2004-12-01,2006-01-31,1.1663244353182751,SingleEntryMultipleExits,buyout/lbo,secondary buyout,,405.0,"carson private capital, hm capital (thrifts and mortgage finance)(jason downie)",ipo,,,275.0,,2004,2006
regency energy partners,2004-12-01,2015-04-30,10.40930869267625,SingleEntryMultipleExits,buyout/lbo,secondary buyout,,405.0,"carson private capital, hm capital (thrifts and mortgage finance)(jason downie)",merger/acquisition,,,18000.0,energy transfer (acquired in 2017)(austin lutz),2004,2015
regency hospice,2011-04-15,2019-05-01,8.043805612594113,SingleEntrySingleExit,buyout/lbo,secondary buyout,,62.0,,merger/acquisition,,,,,2011,2019
register.com,2005-11-04,2010-07-30,4.733744010951403,SingleEntryMultipleExits,buyout/lbo,public to private,,200.0,"sonostar capital partners, sonostar ventures, vector capital (california)(amish mehta)",merger/acquisition,,,135.0,newfold digital(david brown),2005,2010
rego products,2013-12-04,2021-12-16,8.032854209445585,SingleEntrySingleExit,buyout/lbo,management buyout,secondary buyout,400.0,"citic capital, goldpoint partners, windjammer capital investors(john donahue)",merger/acquisition,,,631.0,opw,2013,2021
reichert,2007-01-11,2011-10-17,4.763860369609857,MultipleEntriesSingleExit,buyout/lbo,secondary buyout,,,bpoc(david beecken),merger/acquisition,,,150.0,ametek (nys: ame)(frank hermance),2007,2011
reigning champs,2014-11-01,2021-04-20,6.466803559206023,SingleEntrySingleExit,buyout/lbo,,,33.2,"mdc capital, mubadala capital",merger/acquisition,,,200.0,endeavor group holdings,2014,2021
reinhold industries,2007-01-10,2013-05-31,6.3874058863791925,SingleEntrySingleExit,buyout/lbo,public to private,,43.82,tjc (new york),merger/acquisition,,,133.0,heico (nys: hei.a)(laurans mendelson),2007,2013
relias media,2013-08-02,2016-10-11,3.19233401779603,MultipleEntriesSingleExit,buyout/lbo,management buy-in,corporate divestiture,,lone peak capital group(kyle tomlin),merger/acquisition,corporate divestiture,,,relias(james triandiflou),2013,2016
remedial construction services,2012-11-20,2021-07-13,8.643394934976044,SingleEntrySingleExit,buyout/lbo,secondary buyout,,,"brookfield oaktree holdings, gfi energy group",merger/acquisition,,,41.24,keller group (lon: klr)(michael speakman),2012,2021
remington arms,2007-04-30,2020-10-07,13.440109514031485,MultipleEntriesSingleExit,buyout/lbo,secondary buyout,add-on,370.0,"cerberus capital management, remington outdoor company(anthony acitelli)",merger/acquisition,,,13.0,roundhill group,2007,2020
rentpath,2011-07-13,2021-04-02,9.722108145106091,SingleEntrySingleExit,buyout/lbo,public to private,,525.0,tpg (nas: tpg)(david trujillo),merger/acquisition,,,608.0,redfin(glenn kelman),2011,2021
reorganized isa,2008-02-04,2013-04-18,5.201916495550993,SingleEntrySingleExit,buyout/lbo,secondary buyout,,16400.0,"bc partners(raymond svider), entrepreneur partners, intermediate capital group (lon: icg), ridgemont equity partners, silver lake, unison capital",ipo,,,347.83,,2008,2013
republic engineered products,2002-08-16,2005-07-22,2.9322381930184807,SingleEntrySingleExit,buyout/lbo,,,,"hunt investment group, kps capital partners",merger/acquisition,,,229.0,industrias ch (mex: ichb),2002,2005
resco products,2022-03-07,2025-01-28,2.8966461327857633,MultipleEntriesSingleExit,buyout/lbo,secondary buyout,,56.0,balmoral funds(robin nourmand),merger/acquisition,,,409.8,rhi magnesita (wbo: rhim)(stefan borgas),2022,2025
resolute tissue,2013-05-21,2015-11-16,2.48870636550308,MultipleEntriesSingleExit,buyout/lbo,secondary buyout,,,peak rock capital(peter leibman),merger/acquisition,,,155.0,resolute forest products(richard garneau),2013,2015
resource capital asset management,2006-10-13,2011-02-15,4.342231348391513,SingleEntrySingleExit,buyout/lbo,secondary buyout,add-on,,"churchill financial(kenneth kencel), irving place capital(david king)",merger/acquisition,corporate divestiture,,22.5,acres commercial realty corporation. (nys: acr),2006,2011
restaurants unlimited,2007-03-27,2019-09-25,12.498288843258042,SingleEntrySingleExit,buyout/lbo,secondary buyout,,,sun capital partners,merger/acquisition,,,37.0,landry's,2007,2019
restoration hardware (nys: rh),2008-06-17,2012-11-02,4.37782340862423,SingleEntrySingleExit,buyout/lbo,public to private,management buyout,267.0,"glenhill capital management, l catterton, tower three partners",ipo,,,123.94,,2008,2012
retail pro,2012-12-31,2023-11-30,10.913073237508556,MultipleEntriesSingleExit,buyout/lbo,management buyout,secondary buyout,,"parthenon capital partners, svb financial group",merger/acquisition,,,30.9,nayax (tae: nyax)(yair nechmad),2012,2023
retrans,2012-01-06,2015-08-04,3.575633127994524,SingleEntrySingleExit,buyout/lbo,,,,tailwind capital,merger/acquisition,,,190.0,kuehne + nagel (swx: knin)(detlef trefzger),2012,2015
revel systems,2017-02-16,2024-06-13,7.321013004791239,SingleEntrySingleExit,buyout/lbo,,,35.0,"welsh, carson, anderson & stowe(eric lee)",merger/acquisition,,,245.3,shift4 payments (nys: four)(jared isaacman),2017,2024
revitas,2009-06-25,2017-01-05,7.531827515400411,SingleEntryMultipleExits,buyout/lbo,secondary buyout,public to private,55.0,llr partners(gregory case),merger/acquisition,,,52.8,model n(zack rinat),2009,2017
richelieu foods,2010-11-18,2017-12-01,7.036276522929501,MultipleEntriesSingleExit,buyout/lbo,management buyout,secondary buyout,,centerview capital,merger/acquisition,,,435.0,freiberger,2010,2017
rimrock energy partners,2017-12-21,2025-01-31,7.112936344969199,MultipleEntriesSingleExit,buyout/lbo,management buyout,corporate divestiture,,energy spectrum capital(michael mayon),merger/acquisition,corporate divestiture,,325.0,williams companies (nys: wmb),2017,2025
rinker materials,2014-12-25,2016-10-20,1.8206707734428473,SingleEntryMultipleExits,buyout/lbo,,,1400.0,lone star funds,ipo,,,331.56,,2014,2016
