Company,EntryDate,ExitDate,HoldingYears,PairingNotes,Entry_DealType,Entry_DealType2,Entry_DealType3,Entry_DealSize,Entry_Sponsor,Exit_DealType,Exit_DealType2,Exit_DealType3,Exit_DealSize,Exit_Sponsor,EntryYear,ExitYear
jefferson national financial,2012-01-17,2017-03-01,5.119780971937029,SingleEntrySingleExit,buyout/lbo,management buyout,corporate divestiture,83.0,"ten coves capital(steven piaker), the stephens group(robert covington)",merger/acquisition,,,,nationwide financial services(kirt walker),2012,2017
jenny craig,2002-05-22,2006-09-30,4.358658453114305,SingleEntrySingleExit,buyout/lbo,public to private,,115.0,"aci capital(kevin penn), midocean partners(robert sharp)",merger/acquisition,,,600.0,nestlé (swx: nesn),2002,2006
jillian's entertainment holdings,1997-07-26,2004-05-24,6.828199863107461,SingleEntrySingleExit,buyout/lbo,public to private,,25.0,prospect hill growth partners,merger/acquisition,distressed acquisition,,45.74,dave & buster's (nas: play),1997,2004
jm swank company,2016-07-25,2021-08-01,5.018480492813142,SingleEntrySingleExit,buyout/lbo,corporate divestiture,,,platinum equity(adam cooper),merger/acquisition,,,302.86,brenntag (etr: bnr)(christian kohlpaintner),2016,2021
joann,2011-03-18,2021-03-12,9.984941820670773,SingleEntrySingleExit,buyout/lbo,public to private,,1600.0,"crescent capital group, leonard green & partners(todd purdy), saints capital",ipo,,,131.25,,2011,2021
joey new york,2011-02-04,2013-02-26,2.0616016427104724,SingleEntryMultipleExits,buyout/lbo,,,,scotiabank private equity,ipo,,,0.1,,2011,2013
joey new york,2011-02-04,2014-05-12,3.266255989048597,SingleEntryMultipleExits,buyout/lbo,,,,scotiabank private equity,merger/acquisition,,,,rar beauty,2011,2014
john hancock tower,2009-03-31,2010-12-29,1.7467488021902806,SingleEntrySingleExit,buyout/lbo,secondary buyout,,660.6,"five mile capital partners(steven baum), normandy real estate partners(finn wentworth)",merger/acquisition,,,289.5,boston properties (nys: bxp)(mortimer zuckerman),2009,2010
johnny rockets,2013-07-08,2020-09-22,7.208761122518823,MultipleEntriesSingleExit,buyout/lbo,secondary buyout,add-on,90.0,"friendly's ice cream, sun capital partners",merger/acquisition,corporate divestiture,,24.83,fat brands (nas: fat)(andrew wiederhorn),2013,2020
jostens,2000-05-10,2015-11-02,15.4798083504449,SingleEntrySingleExit,buyout/lbo,public to private,,950.0,"investcorp, midocean partners, pamlico capital",merger/acquisition,,,1500.0,jarden (industrial supplies and parts)(james lillie),2000,2015
joyson safety systems,2007-03-08,2016-06-02,9.23750855578371,SingleEntrySingleExit,buyout/lbo,management buyout,secondary buyout,450.0,crestview partners(thomas murphy),merger/acquisition,,,920.0,ningbo joyson electronic (china) (shg: 600699)(jianfeng wang),2007,2016
jr automation,2015-03-17,2019-12-27,4.780287474332649,SingleEntrySingleExit,buyout/lbo,management buyout,corporate divestiture,,crestview partners(thomas murphy),merger/acquisition,,,1425.0,hitachi (tks: 6501)(masakazu aoki),2015,2019
jsi store fixtures,2013-01-10,2021-05-21,8.358658453114305,SingleEntrySingleExit,buyout/lbo,management buyout,secondary buyout,,"advantage capital, dover madison capital management, mtn capital partners(dan negrea), rfe investment partners(james parsons)",merger/acquisition,,,93.69,lsi industries (nas: lyts)(james clark),2013,2021
jtech an hme company,2000-02-25,2005-01-05,4.862422997946612,SingleEntryMultipleExits,buyout/lbo,secondary buyout,,,sun capital partners(rodger krouse),merger/acquisition,,,14.13,micros systems,2000,2005
jtech an hme company,2000-02-25,2023-02-01,22.934976043805612,SingleEntryMultipleExits,buyout/lbo,secondary buyout,,,sun capital partners(rodger krouse),merger/acquisition,corporate divestiture,,,hm electronics,2000,2023
judson technologies,2000-03-01,2008-02-01,7.920602327173169,SingleEntrySingleExit,buyout/lbo,corporate divestiture,,,keystone capital management(karen mason),merger/acquisition,,,27.0,teledyne technologies (nys: tdy)(robert mehrabian),2000,2008
jun group,2018-09-10,2024-07-31,5.88911704312115,SingleEntrySingleExit,buyout/lbo,add-on,,,"advantage solutions (bpo/outsource services) (nas: adv)(jill griffin), cvc capital partners (ams: cvc)(christopher stadler), juggernaut capital partners, leonard green & partners(jonathan sokoloff)",merger/acquisition,corporate divestiture,,130.0,verve (business/productivity software) (sto: ver),2018,2024
jupiterresearch,2006-03-28,2008-07-31,2.3436002737850785,SingleEntrySingleExit,buyout/lbo,add-on,corporate divestiture,13.79,"kagan research, mcg capital(bryan mitchell)",merger/acquisition,,,22.55,forrester research (nas: forr)(george colony),2006,2008
jw aluminum,2015-11-19,2023-07-01,7.613963039014374,MultipleEntriesMultipleExits,buyout/lbo,secondary buyout,recapitalization,,"blackstone credit and insurance, future standard (usa), the goldman sachs group (nys: gs)",merger/acquisition,,,,,2015,2023
k&f industries,2004-11-18,2005-08-09,0.7227926078028748,SingleEntryMultipleExits,buyout/lbo,secondary buyout,,1060.0,"aurora capital partners(john mapes), the cypress group",ipo,,,315.0,,2004,2005
k&f industries,2004-11-18,2007-06-22,2.5900068446269677,SingleEntryMultipleExits,buyout/lbo,secondary buyout,,1060.0,"aurora capital partners(john mapes), the cypress group",merger/acquisition,,,1100.0,meggitt,2004,2007
k*tec electronics holding,2000-10-10,2002-02-28,1.3853524982888432,SingleEntrySingleExit,buyout/lbo,corporate divestiture,,225.0,"blum capital partners(john walker), hci equity partners",merger/acquisition,,,158.0,suntron,2000,2002
k2m,2010-08-19,2014-05-08,3.7180013689253935,SingleEntryMultipleExits,buyout/lbo,secondary buyout,,400.0,"ferrer freeman & company(keith longson), welsh, carson, anderson & stowe(paul queally)",ipo,,,132.38,,2010,2014
k2m,2010-08-19,2018-11-09,8.224503764544833,SingleEntryMultipleExits,buyout/lbo,secondary buyout,,400.0,"ferrer freeman & company(keith longson), welsh, carson, anderson & stowe(paul queally)",merger/acquisition,,,1380.0,stryker (nys: syk)(kevin lobo),2010,2018
kaelus ( electronic equipment and instruments),2017-05-02,2019-10-23,2.4750171115674195,SingleEntryMultipleExits,buyout/lbo,add-on,corporate divestiture,,"genstar capital(robert rutledge), infinite electronics(terry jarnigan)",merger/acquisition,corporate divestiture,,,kaelus (wireless communications equipment)(peter sandberg),2017,2019
kahala franchising,2013-08-19,2016-07-26,2.9349760438056127,SingleEntryMultipleExits,buyout/lbo,public to private,management buyout,,"delavaco group, serruya private equity(michael serruya)",merger/acquisition,,,310.0,mty food group (tse: mty)(stanley ma),2013,2016
kaman distribution group,2019-08-26,2022-01-04,2.3600273785078714,SingleEntrySingleExit,buyout/lbo,corporate divestiture,,700.0,littlejohn & co.(antonio miranda),merger/acquisition,,,1300.0,motion industries(randy breaux),2019,2022
kana software,2009-12-23,2014-02-04,4.117727583846681,SingleEntrySingleExit,buyout/lbo,public to private,,77.48,accel-kkr(jason klein),merger/acquisition,,,541.68,verint systems (nas: vrnt)(dan bodner),2009,2014
kanawha river terminals,2008-03-07,2013-10-01,5.568788501026694,SingleEntrySingleExit,buyout/lbo,add-on,corporate divestiture,,"kelso & company(sandy osborne), pegasus capital advisors, traxys",merger/acquisition,corporate divestiture,,86.0,suncoke energy partners(frederick henderson),2008,2013
kapow events,2018-06-05,2020-06-25,2.0561259411362083,SingleEntryMultipleExits,buyout/lbo,add-on,,,"cvent(reggie aggarwal), vista equity partners(brian sheth)",merger/acquisition,corporate divestiture,,1.1,hello! destination management,2018,2020
kapow events,2018-06-05,2025-02-04,6.669404517453799,SingleEntryMultipleExits,buyout/lbo,add-on,,,"cvent(reggie aggarwal), vista equity partners(brian sheth)",merger/acquisition,corporate divestiture,,,bizly(ronak shah),2018,2025
kathryn beich,2002-09-12,2008-04-25,5.618069815195072,SingleEntrySingleExit,buyout/lbo,corporate divestiture,,50.0,"canterbury capital, lincolnshire management(t.j. maloney)",merger/acquisition,,,,great american opportunities,2002,2008
kauz tv,2003-11-01,2015-08-05,11.759069130732374,SingleEntrySingleExit,buyout/lbo,corporate divestiture,,8.2,"columbia capital, hoak & co, hoak media(eric van den branden)",merger/acquisition,,,,american spirit media,2003,2015
kci holdings,2011-11-04,2019-10-11,7.9342915811088295,SingleEntryMultipleExits,buyout/lbo,secondary buyout,public to private,,"apax partners(buddy gumina), cpp investments(andre bourbonnais), public sector pension investment board(derek murphy)",merger/acquisition,,,4500.0,3m (nys: mmm)(michael roman),2011,2019
kdc solar,2010-06-07,2021-06-14,11.019849418206707,SingleEntrySingleExit,buyout/lbo,,,225.0,diamond castle holdings(michael ranger),merger/acquisition,,,,ci renewables,2010,2021
kellstrom aerospace,2015-04-13,2024-12-03,9.64271047227926,MultipleEntriesSingleExit,buyout/lbo,secondary buyout,,,ae industrial partners(david rowe),merger/acquisition,,,188.9,vse (aerospace and defense) (nas: vsec)(john cuomo),2015,2024
kellwood company,2008-02-20,2016-12-21,8.83504449007529,SingleEntrySingleExit,buyout/lbo,public to private,,950.1,sun capital partners,merger/acquisition,,,156.0,,2008,2016
kemp technologies,2019-03-29,2021-11-01,2.595482546201232,SingleEntrySingleExit,buyout/lbo,,,,mill point capital(craig adler),merger/acquisition,,,258.0,progress software (nas: prgs)(yogesh gupta),2019,2021
