Entry_DealID,Entry_Company,Entry_DealDate,Entry_DealSize,Exit_DealID,Exit_Company,Exit_DealDate,Exit_DealSize,HasBothDates,HasBothSizes,EligibleForIRR,HoldingYears,IRR_XIRR,TotalDistributions,TotalGains,Exit_DealType,Exit_DealType2,Exit_DealType3,EntryYear
10500-85T,Select Medical Holdings (NYS: SEM),2005-02-24,1827.7,11685-25T,Select Medical Holdings (NYS: SEM),2009-09-25,300.0,True,True,True,4.583162217659138,-0.3258320815092774,0.0,300.0,IPO,,,2005
10490-50T,Daikin Comfort Technologies North America,2008-02-13,1812.0,17725-15T,Daikin Comfort Technologies North America,2012-11-01,3700.0,True,True,True,4.717316906228611,0.16338791991034596,0.0,3700.0,Merger/Acquisition,,,2008
17374-24T,Gymboree Group,2010-11-23,1800.0,115623-37T,Gymboree Group,2019-04-04,76.0,True,True,True,8.361396303901437,-0.31511367555811653,0.0,76.0,Merger/Acquisition,,,2010
10269-37T,United Surgical Partners International,2007-04-19,1800.0,17153-65T,United Surgical Partners International,2009-05-15,,True,False,False,2.0725530458590007,,,,Merger/Acquisition,,,2007
70104-61T,Adobe Marketo Engage,2016-08-16,1790.0,111695-50T,Adobe Marketo Engage,2018-10-31,4736.0,True,True,True,2.206707734428474,0.5541333405063069,0.0,4736.0,Merger/Acquisition,,,2016
113046-04T,American Railcar Industries,2018-12-05,1750.0,119748-70T,American Railcar Industries,2019-07-26,418.27,True,True,True,0.6379192334017796,-0.8939254403300543,0.0,418.27,Merger/Acquisition,,,2018
10708-75T,HealthMarkets,2006-04-05,1725.22,125609-32T,HealthMarkets,2019-01-31,,True,False,False,12.824093086926762,,,,Merger/Acquisition,,,2006
11380-69T,Apria,2008-10-28,1700.0,165192-04T,Apria,2021-02-11,150.0,True,True,True,12.290212183436003,-0.17924898537099365,0.0,150.0,IPO,,,2008
10041-40T,AMC Entertainment Holdings (NYS: AMC),2004-12-23,1670.0,21431-44T,AMC Entertainment Holdings (NYS: AMC),2012-09-04,2660.0,True,True,True,7.698836413415469,0.06232936012676933,0.0,2660.0,Merger/Acquisition,,,2004
69061-69T,Cvent,2016-11-29,1650.0,176875-12T,Cvent,2021-12-08,326.0,True,True,True,5.023956194387406,-0.2758669410789511,0.0,326.0,Reverse Merger,,,2016
11737-09T,Community Health Systems (Franklin) (NYS: CYH),1996-07-10,1630.0,11737-18T,Community Health Systems (Franklin) (NYS: CYH),2000-06-09,243.75,True,True,True,3.915126625598905,-0.3845159763116811,0.0,243.75,IPO,PIPE,,1996
10972-09T,IQVIA (NYS: IQV),2003-09-25,1610.19,22377-70T,IQVIA (NYS: IQV),2013-05-09,947.37,True,True,True,9.620807665982204,-0.05364011141400651,0.0,947.37,IPO,,,2003
17786-17T,JOANN,2011-03-18,1600.0,166873-15T,JOANN,2021-03-12,131.25,True,True,True,9.984941820670773,-0.22154385475134622,0.0,131.25,IPO,,,2011
93342-97T,Innkeepers USA Trust,2007-06-26,1500.0,33790-42T,Innkeepers USA Trust,2014-06-11,958.5,True,True,True,6.959616700889802,-0.06232317604698568,0.0,958.5,Merger/Acquisition,,,2007
40713-58T,Gener8 Maritime,2015-05-07,1450.0,54526-87T,Gener8 Maritime,2015-06-25,210.0,True,True,True,0.13415468856947296,-0.999899,0.0,210.0,IPO,,,2015
10952-74T,Performance Food Group (NYS: PFGC),2008-05-27,1400.25,37431-19T,Performance Food Group (NYS: PFGC),2015-10-01,275.5,True,True,True,7.345653661875428,-0.19854837909391218,0.0,275.5,IPO,,,2008
10272-61T,Open Solutions,2007-01-23,1400.0,21137-32T,Open Solutions,2013-01-14,55.0,True,True,True,5.976728268309377,-0.418173499058342,0.0,55.0,Merger/Acquisition,,,2007
59557-96T,The Fresh Market,2016-04-27,1400.0,193815-82T,The Fresh Market,2022-07-05,681.1,True,True,True,6.187542778918549,-0.10992238254746123,0.0,681.1,Merger/Acquisition,,,2016
11059-12T,TriZetto Provider Solutions,2008-08-05,1400.0,36730-63T,TriZetto Provider Solutions,2014-11-20,2627.8,True,True,True,6.291581108829569,0.10526167529034589,0.0,2627.8,Merger/Acquisition,,,2008
69954-85T,Krispy Kreme Doughnuts (NAS: DNUT),2016-07-27,1350.0,171676-99T,Krispy Kreme Doughnuts (NAS: DNUT),2021-07-01,500.0,True,True,True,4.9281314168377826,-0.18253512127672328,0.0,500.0,IPO,,,2016
19904-23T,Blue Coat Systems,2012-02-15,1300.0,71446-51T,Blue Coat Systems,2016-08-01,4673.0,True,True,True,4.459958932238193,0.332253572660227,0.0,4673.0,Merger/Acquisition,,,2012
10860-58T,Bright Horizons Family Solutions (NYS: BFAM),2008-05-28,1300.0,22457-53T,Bright Horizons Family Solutions (NYS: BFAM),2013-01-25,222.2,True,True,True,4.662559890485968,-0.31537091173330506,0.0,222.2,IPO,,,2008
10467-55T,Intergraph,2006-11-29,1300.0,16800-85T,Intergraph,2010-07-01,2125.0,True,True,True,3.586584531143053,0.14684268375865847,0.0,2125.0,Merger/Acquisition,,,2006
24971-68T,NFP,2013-07-01,1300.0,248044-06T,NFP,2024-04-25,9129.0,True,True,True,10.817248459958932,0.19743731699951483,0.0,9129.0,Merger/Acquisition,,,2013
25868-71T,Sports Authority,2006-05-03,1300.0,76630-96T,Sports Authority,2016-06-30,15.0,True,True,True,10.160164271047227,-0.35543070997807924,0.0,15.0,Merger/Acquisition,,,2006
11613-25T,Aptalis Pharma,2008-02-20,1291.17,30790-36T,Aptalis Pharma,2014-02-06,2900.0,True,True,True,5.963039014373717,0.14533393021569888,0.0,2900.0,Merger/Acquisition,,,2008
10097-83T,Linen's N' Things,2006-02-14,1268.12,303035-59T,Linen's N' Things,2025-07-31,,True,False,False,19.457905544147845,,,,Merger/Acquisition,,,2006
10367-83T,WillScot (NAS: WSC),2007-10-31,1235.0,93087-10T,WillScot (NAS: WSC),2017-11-29,500.0,True,True,True,10.080766598220396,-0.08579218073701138,0.0,500.0,Reverse Merger,,,2007
10181-71T,Serena Software,2006-03-10,1200.0,68010-85T,Serena Software,2016-05-02,540.0,True,True,True,10.146475017111568,-0.07568101027918034,0.0,540.0,Merger/Acquisition,,,2006
16319-71T,SkillSoft (NYS: SKIL),2010-05-26,1200.0,157132-27T,SkillSoft (NYS: SKIL),2021-06-14,697.0,True,True,True,11.052703627652292,-0.047966083290415434,0.0,697.0,Reverse Merger,,,2010
10190-98T,Aeroflex,2007-08-15,1185.47,16530-58T,Aeroflex,2010-11-19,232.88,True,True,True,3.263518138261465,-0.3926533171271811,0.0,232.88,IPO,,,2007
10217-98T,Smart & Final Holdings,2007-05-31,1120.0,33235-12T,Smart & Final Holdings,2014-09-24,161.4,True,True,True,7.318275154004107,-0.23256917826923101,0.0,161.4,IPO,,,2007
116115-76T,Smart & Final Holdings,2019-06-20,1120.0,172125-55T,Smart & Final Holdings,2021-07-09,620.0,True,True,True,2.0533880903490758,-0.2502342876625493,0.0,620.0,Merger/Acquisition,,,2019
21809-26T,Aquity Solutions,2012-08-15,1100.0,244399-87T,Aquity Solutions,2023-10-27,200.0,True,True,True,11.197809719370294,-0.14121763384044173,0.0,200.0,Merger/Acquisition,,,2012
10852-30T,Concentra (NYS: CON),1999-03-22,1100.0,17679-43T,Concentra (NYS: CON),2010-12-21,804.7,True,True,True,11.75085557837098,-0.026251255550510038,0.0,804.7,Merger/Acquisition,,,1999
21916-36T,Deltek,2012-10-10,1100.0,73527-40T,Deltek,2016-12-28,2800.0,True,True,True,4.216290212183436,0.24806592955631987,0.0,2800.0,Merger/Acquisition,,,2012
21556-27T,Interline Brands,2012-09-07,1100.0,54000-82T,Interline Brands,2015-08-24,1672.0,True,True,True,2.9596167008898013,0.15197114493439384,0.0,1672.0,Merger/Acquisition,,,2012
16621-12T,inVentiv Health,2010-08-04,1100.0,87502-51T,inVentiv Health,2017-08-01,4279.6,True,True,True,6.992470910335387,0.2144453294580416,0.0,4279.6,Merger/Acquisition,,,2010
10276-48T,RailAmerica,2007-02-14,1100.0,15901-48T,RailAmerica,2009-10-13,330.0,True,True,True,2.6611909650924024,-0.36391227513957886,0.0,330.0,IPO,,,2007
10211-41T,DoubleClick,2005-07-13,1071.0,10223-20T,DoubleClick,2008-03-11,3100.0,True,True,True,2.6611909650924024,0.4908904574911716,0.0,3100.0,Merger/Acquisition,,,2005
28902-34T,Active Network,2013-11-15,1050.0,96339-88T,Active Network,2017-09-01,1171.0,True,True,True,3.7946611909650922,0.029159516826062704,0.0,1171.0,Merger/Acquisition,,,2013
18232-84T,Forcepoint,2013-06-25,1000.0,46869-49T,Forcepoint,2015-05-29,1900.0,True,True,True,1.9247091033538672,0.39581850374692457,0.0,1900.0,Merger/Acquisition,,,2013
10198-45T,Populus Financial Group,2006-06-07,996.0,249697-90T,Populus Financial Group,2023-03-01,,True,False,False,16.73100616016427,,,,Merger/Acquisition,,,2006
10349-38T,Kellwood Company,2008-02-20,950.1,80126-56T,Kellwood Company,2016-12-21,156.0,True,True,True,8.83504449007529,-0.18494015066877434,0.0,156.0,Merger/Acquisition,,,2008
10258-75T,Jostens,2000-05-10,950.0,59275-45T,Jostens,2015-11-02,1500.0,True,True,True,15.4798083504449,0.02994635880787628,0.0,1500.0,Merger/Acquisition,,,2000
